DATE (dd/mm/yyyy),Severe,Mild,Total of confirmed cases,Cumulative number of cases
3/12/20,0,1,1,1
3/13/20,0,0,0,1
3/14/20,0,0,0,1
3/15/20,0,0,0,1
3/16/20,1,1,2,3
3/17/20,0,1,1,4
3/18/20,0,0,0,4
3/19/20,1,0,1,5
3/20/20,1,2,3,8
3/21/20,0,2,2,10
3/22/20,2,1,3,13
3/23/20,0,0,0,13
3/24/20,0,2,2,15
3/25/20,1,0,1,16
3/26/20,3,0,3,19
3/27/20,0,2,2,21
3/28/20,1,1,2,23
3/29/20,1,0,1,24
3/30/20,1,3,4,28
3/31/20,0,0,0,28
4/1/20,2,1,3,31
4/2/20,2,2,4,35
4/3/20,3,5,8,43
4/4/20,0,1,1,44
4/5/20,0,0,0,44
4/6/20,5,3,8,52
4/7/20,0,2,2,54
4/8/20,0,3,3,57
4/9/20,2,3,5,62
4/10/20,0,1,1,63
4/11/20,1,1,2,65
4/12/20,0,1,1,66
4/13/20,1,1,2,68
4/14/20,1,3,4,72
4/15/20,0,3,3,75
4/16/20,1,3,4,79
4/17/20,1,1,2,81
4/18/20,0,0,0,81
4/19/20,0,1,1,82
4/20/20,0,6,6,88
4/21/20,0,1,1,89
4/22/20,1,1,2,91
4/23/20,1,2,3,94
4/24/20,1,4,5,99
4/25/20,1,5,6,105
4/26/20,0,1,1,106
4/27/20,2,17,19,125
4/28/20,0,11,11,136
4/29/20,3,7,10,146
4/30/20,5,10,15,161
5/1/20,0,6,6,167
5/2/20,1,8,9,176
5/3/20,0,13,13,189
5/4/20,3,18,21,210
5/5/20,1,16,17,227
5/6/20,3,23,26,253
5/7/20,2,23,25,278
5/8/20,1,42,43,321
5/9/20,0,7,7,328
5/10/20,1,5,6,334
5/11/20,1,20,21,355
5/12/20,7,23,30,385
5/13/20,4,25,29,414
5/14/20,5,12,17,431
5/15/20,1,14,15,446
5/16/20,1,9,10,456
5/17/20,3,8,11,467
5/18/20,6,22,28,495
5/19/20,6,10,16,511
5/20/20,1,14,15,526
5/21/20,4,10,14,540
5/22/20,7,23,30,570
5/23/20,1,3,4,574
5/24/20,4,11,15,589
5/25/20,2,19,21,610
5/26/20,3,25,28,638
5/27/20,2,26,28,666
5/28/20,6,33,39,705
5/29/20,4,21,25,730
5/30/20,4,14,18,748
5/31/20,3,10,13,761
6/1/20,13,25,38,799
6/2/20,4,30,34,833
6/3/20,8,34,42,875
6/4/20,5,29,34,909
6/5/20,9,37,46,955
6/6/20,4,33,37,992
6/7/20,7,22,29,1021
6/8/20,12,101,113,1134
6/9/20,14,84,98,1232
6/10/20,19,64,83,1315
6/11/20,16,28,44,1359
6/12/20,12,63,75,1434
6/13/20,20,32,52,1486
6/14/20,15,28,43,1529
6/15/20,4,88,92,1621
6/16/20,11,72,83,1704
6/17/20,10,86,96,1800
6/18/20,20,75,95,1895
6/19/20,14,79,93,1988
6/20/20,12,31,43,2031
6/21/20,11,30,41,2072
6/22/20,11,114,125,2197
6/23/20,15,101,116,2313
6/24/20,9,87,96,2409
6/25/20,16,118,134,2543
6/26/20,14,114,128,2671
6/27/20,13,47,60,2731
6/28/20,16,46,62,2793
6/29/20,16,153,169,2962
6/30/20,19,180,199,3161
7/1/20,20,160,180,3341
7/2/20,22,122,144,3485
7/3/20,26,127,153,3638
7/4/20,28,87,115,3753
7/5/20,25,80,105,3858
7/6/20,15,222,237,4095
7/7/20,20,193,213,4308
7/8/20,19,219,238,4546
7/9/20,21,208,229,4775
7/10/20,25,208,233,5008
7/11/20,15,131,146,5154
7/12/20,29,104,133,5287
7/13/20,19,326,345,5632
7/14/20,25,307,332,5964
7/15/20,20,260,280,6244
7/16/20,23,269,292,6536
7/17/20,20,252,272,6808
7/18/20,23,132,155,6963
7/19/20,15,88,103,7066
7/20/20,18,216,234,7300
7/21/20,20,340,360,7660
7/22/20,16,274,290,7950
7/23/20,20,338,358,8308
7/24/20,37,289,326,8634
7/25/20,19,106,125,8759
7/26/20,19,143,162,8921
7/27/20,26,365,391,9312
7/28/20,19,325,344,9656
7/29/20,19,305,324,9980
7/30/20,20,318,338,10318
7/31/20,45,269,314,10632
8/1/20,24,126,150,10782
8/2/20,18,102,120,10902
8/3/20,39,300,339,11241
8/4/20,21,291,312,11553
8/5/20,32,263,295,11848
8/6/20,35,198,233,12081
8/7/20,29,284,313,12394
8/8/20,19,148,167,12561
8/9/20,19,93,112,12673
8/10/20,21,290,311,12984
8/11/20,27,252,279,13263
8/12/20,11,162,173,13436
8/13/20,21,103,124,13560
8/14/20,4,89,93,13653
8/15/20,0,8,8,13661
TOTAL,1509,12152,13661,
,,,,