DATE (dd/mm/yyyy),Deaths,Cumulative number of deaths
3/16/20,1,1
3/19/20,0,1
3/20/20,0,1
3/22/20,0,1
3/25/20,0,1
3/26/20,3,4
3/28/20,0,4
3/29/20,0,4
3/30/20,0,4
4/1/20,1,5
4/2/20,0,5
4/3/20,0,5
4/6/20,1,6
4/9/20,0,6
4/11/20,0,6
4/13/20,1,7
4/14/20,1,8
4/16/20,1,9
4/17/20,0,9
4/22/20,0,9
4/23/20,0,9
4/24/20,0,9
4/25/20,0,9
4/27/20,2,11
4/29/20,0,11
4/30/20,2,13
5/2/20,0,13
5/4/20,0,13
5/5/20,0,13
5/6/20,0,13
5/7/20,0,13
5/8/20,0,13
5/10/20,0,13
5/11/20,0,13
5/12/20,3,16
5/13/20,0,16
5/14/20,1,17
5/15/20,1,18
5/16/20,0,18
5/17/20,0,18
5/18/20,3,21
5/19/20,1,22
5/20/20,0,22
5/21/20,0,22
5/22/20,1,23
5/23/20,0,23
5/24/20,1,24
5/25/20,1,25
5/26/20,1,26
5/27/20,0,26
5/28/20,2,28
5/29/20,1,29
5/30/20,0,29
5/31/20,2,31
6/1/20,2,33
6/2/20,1,34
6/3/20,0,34
6/4/20,1,35
6/5/20,3,38
6/6/20,2,40
6/7/20,2,42
6/8/20,4,46
6/9/20,2,48
6/10/20,5,53
6/11/20,4,57
6/12/20,2,59
6/13/20,7,66
6/14/20,5,71
6/15/20,1,72
6/16/20,2,74
6/17/20,0,74
6/18/20,5,79
6/19/20,2,81
6/20/20,3,84
6/21/20,4,88
6/22/20,1,89
6/23/20,6,95
6/24/20,2,97
6/25/20,6,103
6/26/20,7,110
6/27/20,4,114
6/28/20,7,121
6/29/20,2,123
6/30/20,7,130
7/1/20,3,133
7/2/20,7,140
7/3/20,8,148
7/4/20,11,159
7/5/20,3,162
7/6/20,4,166
7/7/20,3,169
7/8/20,3,172
7/9/20,7,179
7/10/20,4,183
7/11/20,6,189
7/12/20,8,197
7/13/20,3,200
7/14/20,8,208
7/15/20,5,213
7/16/20,7,220
7/17/20,3,223
7/18/20,3,226
7/19/20,4,230
7/20/20,4,234
7/21/20,7,241
7/22/20,5,246
7/23/20,6,252
7/24/20,10,262
7/25/20,3,265
7/26/20,2,267
7/27/20,10,277
7/28/20,4,281
7/29/20,5,286
7/30/20,3,289
7/31/20,12,301
8/1/20,1,302
8/2/20,3,305
8/3/20,9,314
8/4/20,0,314
8/5/20,3,317
8/6/20,2,319
8/7/20,3,322
8/8/20,0,322
8/9/20,3,325
8/10/20,3,328
8/11/20,1,329
8/12/20,0,329
8/13/20,1,330
8/14/20,0,330
TOTAL,330,